run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
391;x3;1.8299878999998782;109;52;161;70.29296875;x3_x1_x4_x2_x6_x5;['x3', 'x1', 'x4', 'x2', 'x6', 'x5']
392;x4;2.362142100000028;116;54;170;72.17578125;x4_x5_x3_x6_x2_x1;['x4', 'x5', 'x3', 'x6', 'x2', 'x1']
393;x4;2.9145512000000053;180;103;283;72.17578125;x4_x3_x6_x2_x5_x1;['x4', 'x3', 'x6', 'x2', 'x5', 'x1']
394;x5;1.6171449999999368;94;49;143;70.39453125;x5_x2_x4_x3_x1_x6;['x5', 'x2', 'x4', 'x3', 'x1', 'x6']
395;x6;7.25903900000003;199;147;346;70.39453125;x6_x1_x2_x4_x3_x5;['x6', 'x1', 'x2', 'x4', 'x3', 'x5']
396;x5;7.769294199999877;198;144;342;70.37890625;x5_x6_x2_x1_x4_x3;['x5', 'x6', 'x2', 'x1', 'x4', 'x3']
397;x3;2.487741200000073;116;50;166;72.54296875;x3_x1_x5_x6_x4_x2;['x3', 'x1', 'x5', 'x6', 'x4', 'x2']
398;x2;2.392214299999978;116;54;170;72.54296875;x2_x3_x4_x6_x5_x1;['x2', 'x3', 'x4', 'x6', 'x5', 'x1']
399;x2;1.6432958999998846;94;48;142;72.12109375;x2_x4_x1_x5_x3_x6;['x2', 'x4', 'x1', 'x5', 'x3', 'x6']
400;x5;2.985119599999962;180;101;281;70.640625;x5_x3_x6_x4_x2_x1;['x5', 'x3', 'x6', 'x4', 'x2', 'x1']
401;x6;7.811797200000001;199;148;347;70.6484375;x6_x5_x4_x3_x2_x1;['x6', 'x5', 'x4', 'x3', 'x2', 'x1']
402;x5;2.626485700000103;116;53;169;73.3359375;x5_x3_x2_x6_x1_x4;['x5', 'x3', 'x2', 'x6', 'x1', 'x4']
403;x1;7.662114699999847;200;153;353;73.33984375;x1_x6_x4_x3_x2_x5;['x1', 'x6', 'x4', 'x3', 'x2', 'x5']
404;x6;7.680815500000108;200;155;355;70.37109375;x6_x5_x3_x1_x2_x4;['x6', 'x5', 'x3', 'x1', 'x2', 'x4']
405;x5;6.839438599999994;198;150;348;70.37109375;x5_x6_x1_x4_x2_x3;['x5', 'x6', 'x1', 'x4', 'x2', 'x3']
406;x6;7.992168199999924;198;147;345;70.375;x6_x1_x2_x4_x5_x3;['x6', 'x1', 'x2', 'x4', 'x5', 'x3']
407;x1;1.581700899999987;94;51;145;70.375;x1_x4_x3_x5_x2_x6;['x1', 'x4', 'x3', 'x5', 'x2', 'x6']
408;x2;1.852713300000005;109;55;164;70.375;x2_x4_x3_x5_x6_x1;['x2', 'x4', 'x3', 'x5', 'x6', 'x1']
