;pos_1;pos_2;pos_3;pos_4;pos_5;pos_6
x1;567;608;600;631;587;607
x2;602;591;624;601;617;565
x3;636;538;591;632;602;601
x4;610;617;582;576;603;612
x5;586;582;609;602;604;617
x6;599;664;594;558;587;598
