run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
1;w;w_v_y_u_x_z_t;26.359378500000002;709;65.91796875;w*t, w*x, w*u, v*y, w*y, w*v, w**2, t**3, z*t**2, x*t**2, u*t**2, y*t**2, v*t**2, x*z*t, u*z*t, v*z*t, u*x*t, v*x*t, u**2*t, y*u*t, v*u*t, v**2*t, w*z**2, v*x*z, v*u*z, u*x*z**2, u**2*x*z, y*u**2*z;['w', 'v', 'y', 'u', 'x', 'z', 't']
2;z;z_v_t_x_u_w_y;30.1593516;467;11.90234375;v*w, t*u, z*u, t*x, t**2, v*t, z*t, t*y**2, w**2*y, u*w*y, t*w*y, v**2*y, w**3, u*w**2, x*w**2, t*w**2, z*w**2, u**2*w, x*u*w, z*x*w, z*v*x, v*x*u*y;['z', 'v', 't', 'x', 'u', 'w', 'y']
3;y;y_t_z_v_x_u_w;8.557837399999997;506;10.421875;t*u, t*x, t*v, y*v, t*z, t**2, y*t, w**3, u*w**2, x*w**2, v*w**2, z*w**2, t*w**2, y*w**2, u**2*w, x*u*w, v*u*w, z*u*w, y*u*w, v*x*w, z*x*w, v**2*w, z*v*w, z*v*u, z*v*x, z*x*u**2, y*z*u**2, z**2*x*u;['y', 't', 'z', 'v', 'x', 'u', 'w']
4;t;t_u_x_y_z_w_v;14.758811199999997;500;10.43359375;t*w, u*z, t*z, t*y, t*x, t*u, t**2, w*v**2, t*v**2, w**2*v, z*w*v, y*w*v, x*w*v, u*w*v, x*z*v, u*y*v, w**3, z*w**2, y*w**2, x*w**2, u*w**2, x*z*w, u*y*w, u*x*w, u**2*w, y**2*v**2, x*y*v**2;['t', 'u', 'x', 'y', 'z', 'w', 'v']
5;t;t_x_v_w_y_u_z;40.37509089999999;538;10.3046875;t*y, w**2, v*w, t*w, t*v, t*x, t**2, t*z**2, w*u*z, v*u*z, t*u*z, v*y*z, x*w*z, x*v*z, w*u**2, t*u**2, w*y*u, v*y*u, x*w*u, v*y**2, v**2*y, x*v*y, x*u*z**2, y*u**2*z, x*u**2*z;['t', 'x', 'v', 'w', 'y', 'u', 'z']
6;y;y_v_w_u_z_t_x;15.220243100000005;707;10.5859375;w*t, w*z, w*u, w**2, v*w, y*w, y*v, w*x**2, t**2*x, z*t*x, u*t*x, v*t*x, v*z*x, t**3, z*t**2, u*t**2, v*t**2, y*t**2, u*z*t, v*z*t, u**2*t, v*u*t, y*u*t, v**2*t, v*u*z, u*z**2*x, u**2*z*x, y*u**2*z;['y', 'v', 'w', 'u', 'z', 't', 'x']
7;y;y_v_z_t_w_x_u;14.0156748;467;10.06640625;t*w, v*w, t**2, z*t, v*t, y*t, y*v, w*u**2, t*u**2, w*x*u, t*x*u, w**2*u, z*w*u, y*w*u, v*z*u, t*x**2, w**2*x, z*w*x, v*z*x, w**3, z*w**2, y*w**2, z*x*u**2, y*z*u**2, z**2*x*u;['y', 'v', 'z', 't', 'w', 'x', 'u']
8;z;z_x_t_y_w_v_u;20.299158200000022;520;10.08203125;t*v, w**2, t*w, t*y, t**2, x*t, z*t, w*u**2, t*u**2, w*v*u, y*v*u, z*v*u, y*w*u, x*w*u, z*w*u, w*v**2, y*v**2, y*w*v, x*w*v, z*w*v, y**2*v, x*y*v, z*y*v, z*x*v, z*x*w, z*x*u**2, z**2*u**2, z**2*x*u;['z', 'x', 't', 'y', 'w', 'v', 'u']
9;t;t_x_z_w_y_v_u;50.28941499999999;796;9.7109375;t*v, t*y, w**2, t*w, t*z, t*x, t**2, w*u**2, t*u**2, y*v*u, w*v*u, z*v*u, w*y*u, z*w*u, x*w*u, y*v**2, w*v**2, y**2*v, w*y*v, z*y*v, x*y*v, z*w*v, x*w*v, x*z*v, x*z*w, z**2*u**2, x*z*u**2, x*z**2*u;['t', 'x', 'z', 'w', 'y', 'v', 'u']
10;v;v_u_w_z_x_y_t;68.2900612;681;15.43359375;u*t, w*x, w*z, u*z, w**2, u*w, v*w, t**3, y*t**2, x*t**2, z*t**2, w*t**2, v*t**2, w*y*t, v*y*t, z*x*t, v*x*t, v*z*t, v**2*t, w*y**2, v**2*y, v*z*x, v*u*x*y;['v', 'u', 'w', 'z', 'x', 'y', 't']
11;v;v_z_x_t_y_w_u;7.311846900000035;461;67.74609375;t*w, t*y, v*y, t**2, x*t, z*t, v*t, w*u**2, t*u**2, w**2*u, y*w*u, x*w*u, z*w*u, v*w*u, v*z*u, w**3, y*w**2, x*w**2, z*w**2, v*w**2, z*x*w, v*x*w, v*z*w, v**2*w, v*z*x, z*x*u**2, z**2*u**2, z**2*x*u;['v', 'z', 'x', 't', 'y', 'w', 'u']
12;t;t_u_w_v_y_x_z;25.37327959999999;729;67.74609375;w*v, t*v, w**2, u*w, t*w, t*u, t**2, t*z**2, v*x*z, w*x*z, t*x*z, v*y*z, t*y*z, u**2*z, t*x**2, v*y*x, t*y*x, v*y**2, t*y**2, v**2*y, u*v*y, u*x*z**2;['t', 'u', 'w', 'v', 'y', 'x', 'z']
13;y;y_u_t_z_w_v_x;26.019650799999965;821;66.15625;t*w, u*w, t*z, u*z, t**2, u*t, y*t, t*x**2, w*v*x, z*v*x, t*v*x, w**2*x, z*w*x, w*v**2, t*v**2, w**2*v, z*w*v, y*w*v, y*u*v, w**3, z*w**2, y*w**2, y*v**2*x, y**2*v**2;['y', 'u', 't', 'z', 'w', 'v', 'x']
14;t;t_z_x_y_v_u_w;7.521412899999973;545;39.34765625;t*u, y*v, t*v, t*y, t*x, t*z, t**2, w**3, u*w**2, v*w**2, y*w**2, x*w**2, z*w**2, t*w**2, u**2*w, v*u*w, y*u*w, x*u*w, z*u*w, v**2*w, x*v*w, z*v*w, z*x*w, z*v*u, z*x*v, z*x*u**2, z**2*u**2, z**2*x*u;['t', 'z', 'x', 'y', 'v', 'u', 'w']
15;x;x_z_u_t_v_y_w;9.320307000000014;557;63.35546875;t*y, t*v, t**2, u*t, z*t, x*t, z*u, w**3, y*w**2, v*w**2, t*w**2, u*w**2, z*w**2, x*w**2, v*y*w, u*y*w, v**2*w, u*v*w, z*v*w, x*v*w, u**2*w, x*u*w, x*z*w, u*v*y, x*z*v, z*v**2*y, x*v**2*y;['x', 'z', 'u', 't', 'v', 'y', 'w']
16;v;v_u_x_w_t_z_y;74.53119190000001;882;68.55078125;w*t, u*t, v*t, w**2, x*w, u*w, v*w, w*y**2, w*z*y, u*z*y, t**2*y, v**2*y, w*z**2, u*z**2, t**2*z, x*t*z, u*x*z, v*x*z, u**2*z, v*u*z, t**3, x*t**2, v*u*x*y;['v', 'u', 'x', 'w', 't', 'z', 'y']
17;z;z_v_u_t_y_x_w;8.096196200000009;482;68.76171875;t*x, t*y, t**2, u*t, v*t, z*t, z*u, w**3, x*w**2, y*w**2, t*w**2, u*w**2, v*w**2, z*w**2, u*x*w, v*x*w, z*x*w, u*y*w, v*y*w, u**2*w, v*u*w, v**2*w, z*v*w, z*v*x, v**2*y, v*u*y*x;['z', 'v', 'u', 't', 'y', 'x', 'w']
18;x;x_z_t_v_w_y_u;16.924737300000004;539;68.76171875;w**2, v*w, t*w, t*v, t**2, z*t, x*t, w*u**2, t*u**2, w*y*u, v*y*u, t*y*u, z*w*u, x*w*u, z*v*u, v*y**2, t*y**2, v**2*y, z*v*y, x*v*y, x*z*w, x*z*v, z**2*u**2, x*z*u**2, x*z**2*u;['x', 'z', 't', 'v', 'w', 'y', 'u']
19;y;y_w_z_v_t_u_x;38.75361880000003;824;68.76171875;v*t, w*t, w*v, y*v, w*z, w**2, y*w, w*x**2, t*u*x, w*u*x, t**2*x, z*t*x, z*v*x, t*u**2, w*u**2, t**2*u, z*t*u, y*t*u, z*v*u, t**3, z*t**2, y*t**2, z*u**2*x, z**2*u*x, y*z*u**2;['y', 'w', 'z', 'v', 't', 'u', 'x']
20;w;w_v_t_z_y_u_x;54.00861499999996;751;59.90234375;w*y, w*z, t**2, v*t, w*t, w*v, w**2, w*x**2, t*u*x, w*u*x, v*y*x, t*z*x, v*z*x, t*u**2, w*u**2, t*y*u, v*y*u, t*z*u, v*z*u, v*y**2, v*z*y, v**2*y, z*u**2*x, z**2*u*x, z**2*u**2;['w', 'v', 't', 'z', 'y', 'u', 'x']
21;y;y_x_t_z_u_w_v;27.021053199999983;517;12.6171875;t*w, z*u, t*u, t*z, t**2, x*t, y*t, w*v**2, t*v**2, w**2*v, u*w*v, z*w*v, x*w*v, y*w*v, y*u*v, x*z*v, w**3, u*w**2, z*w**2, x*w**2, y*w**2, u**2*w, x*u*w, y*u*w, x*z*w, y*x*v**2, y**2*v**2;['y', 'x', 't', 'z', 'u', 'w', 'v']
