run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
138;x7;x7_x6_x9_x1_x10_x4_x3_x5_x8_x2;0.2890838000000002;126;50.1875;x3, x9, x6, x7, x2**2, x10*x2, x1*x2, x8**2, x5*x8, x10*x8, x1*x8, x5**2, x10*x5, x1*x5, x4**2, x10**2, x1*x10, x1**2;['x7', 'x6', 'x9', 'x1', 'x10', 'x4', 'x3', 'x5', 'x8', 'x2']
139;x2;x2_x7_x4_x9_x8_x5_x3_x1_x6_x10;0.6873801999999927;153;50.2109375;x8, x9, x7, x2, x1*x10, x3*x10, x5*x10, x6**2, x1*x6, x3*x6, x5*x6, x1**2, x3*x1, x5*x1, x3**2, x5*x3, x5**2, x4**2, x10**3, x6*x10**2;['x2', 'x7', 'x4', 'x9', 'x8', 'x5', 'x3', 'x1', 'x6', 'x10']
140;x10;x10_x7_x2_x9_x5_x1_x8_x6_x3_x4;0.6090054000000009;154;50.2109375;x8, x2, x7, x10, x4**2, x6*x3, x1*x3, x5*x3, x9*x3, x1*x6, x5*x6, x9*x6, x1**2, x5*x1, x9*x1, x5**2, x9*x5, x9**2, x3**3, x6**3;['x10', 'x7', 'x2', 'x9', 'x5', 'x1', 'x8', 'x6', 'x3', 'x4']
141;x7;x7_x2_x1_x5_x8_x4_x9_x3_x6_x10;0.5190275000000071;167;50.2109375;x8, x1, x2, x7, x3*x10, x9*x10, x5*x10, x6**2, x3*x6, x9*x6, x5*x6, x3**2, x9*x3, x5*x3, x9**2, x5*x9, x4**2, x5**2, x10**3, x6*x10**2;['x7', 'x2', 'x1', 'x5', 'x8', 'x4', 'x9', 'x3', 'x6', 'x10']
142;x5;x5_x1_x3_x9_x2_x4_x7_x6_x10_x8;0.411063299999995;151;30.48046875;x4, x9, x3, x5, x10*x8, x6*x8, x2*x8, x1*x8, x6*x10, x2*x10, x1*x10, x6**2, x2*x6, x1*x6, x7**2, x2**2, x1*x2, x1**2, x8**3, x10**3;['x5', 'x1', 'x3', 'x9', 'x2', 'x4', 'x7', 'x6', 'x10', 'x8']
143;x3;x3_x9_x6_x2_x8_x5_x7_x1_x10_x4;0.46087319999999465;155;30.4921875;x7, x6, x9, x3, x4**2, x5*x10, x8*x10, x2*x10, x1**2, x5*x1, x8*x1, x2*x1, x5**2, x8*x5, x2*x5, x8**2, x2*x8, x2**2, x10**3, x1*x10**2;['x3', 'x9', 'x6', 'x2', 'x8', 'x5', 'x7', 'x1', 'x10', 'x4']
144;x10;x10_x1_x6_x7_x2_x4_x3_x8_x9_x5;0.7050626000000051;156;30.4921875;x3, x7, x1, x10, x8*x5, x2*x5, x6*x5, x9**2, x8*x9, x2*x9, x6*x9, x8**2, x2*x8, x6*x8, x4**2, x2**2, x6*x2, x6**2, x5**3, x9*x5**2;['x10', 'x1', 'x6', 'x7', 'x2', 'x4', 'x3', 'x8', 'x9', 'x5']
145;x6;x6_x2_x9_x4_x3_x10_x1_x7_x8_x5;0.46513900000000774;153;30.4921875;x3, x4, x9, x6, x8*x5, x10*x5, x2*x5, x8**2, x1*x8, x10*x8, x2*x8, x7**2, x1**2, x10*x1, x2*x1, x10**2, x2*x10, x2**2, x5**3, x1*x5**2;['x6', 'x2', 'x9', 'x4', 'x3', 'x10', 'x1', 'x7', 'x8', 'x5']
146;x9;x9_x1_x6_x3_x10_x4_x5_x8_x7_x2;0.5238824000000051;124;20.625;x4, x3, x1, x9, x2**2, x10*x2, x6*x2, x7**2, x8**2, x5*x8, x10*x8, x6*x8, x5**2, x10*x5, x6*x5, x10**2, x6*x10, x6**2;['x9', 'x1', 'x6', 'x3', 'x10', 'x4', 'x5', 'x8', 'x7', 'x2']
147;x7;x7_x6_x1_x3_x5_x2_x10_x9_x8_x4;0.5985984000000002;152;20.62890625;x3, x1, x6, x7, x4**2, x9*x8, x10*x8, x2*x8, x5*x8, x10*x9, x2*x9, x5*x9, x10**2, x2*x10, x5*x10, x2**2, x5*x2, x5**2, x8**3, x9**3;['x7', 'x6', 'x1', 'x3', 'x5', 'x2', 'x10', 'x9', 'x8', 'x4']
148;x1;x1_x8_x10_x7_x5_x9_x2_x6_x3_x4;0.6931427000000099;166;20.6328125;x7, x10, x8, x1, x4**2, x6*x3, x2*x3, x9*x3, x5*x3, x2*x6, x9*x6, x5*x6, x2**2, x9*x2, x5*x2, x9**2, x5*x9, x5**2, x3**3, x6**3;['x1', 'x8', 'x10', 'x7', 'x5', 'x9', 'x2', 'x6', 'x3', 'x4']
149;x6;x6_x9_x4_x3_x7_x10_x1_x5_x2_x8;0.3069141000000002;140;20.640625;x3, x4, x9, x6, x2*x8, x5*x8, x1*x8, x10*x8, x2**2, x1*x2, x10*x2, x5**2, x1*x5, x10*x5, x1**2, x10*x1, x10**2, x7**2, x8**3;['x6', 'x9', 'x4', 'x3', 'x7', 'x10', 'x1', 'x5', 'x2', 'x8']
150;x10;x10_x7_x2_x4_x1_x5_x3_x9_x6_x8;0.740821799999992;177;20.65625;x3, x2, x7, x10, x6*x8, x9*x8, x5*x8, x1*x8, x9*x6, x5*x6, x1*x6, x9**2, x5*x9, x1*x9, x5**2, x1*x5, x1**2, x4**2, x8**3, x6**3;['x10', 'x7', 'x2', 'x4', 'x1', 'x5', 'x3', 'x9', 'x6', 'x8']
151;x4;x4_x6_x8_x7_x10_x9_x3_x1_x2_x5;0.29220420000000047;155;20.6640625;x10, x8, x6, x4, x1*x5, x3*x5, x9*x5, x2**2, x1*x2, x3*x2, x9*x2, x1**2, x3*x1, x9*x1, x3**2, x9*x3, x9**2, x7**2, x5**3, x2*x5**2;['x4', 'x6', 'x8', 'x7', 'x10', 'x9', 'x3', 'x1', 'x2', 'x5']
152;x3;x3_x8_x10_x9_x1_x4_x7_x2_x6_x5;0.327517499999999;173;20.66796875;x4, x10, x8, x3, x2*x5, x1*x5, x9*x5, x6**2, x2*x6, x1*x6, x9*x6, x2**2, x1*x2, x9*x2, x7**2, x1**2, x9*x1, x9**2, x5**3, x6*x5**2;['x3', 'x8', 'x10', 'x9', 'x1', 'x4', 'x7', 'x2', 'x6', 'x5']
153;x1;x1_x9_x7_x4_x2_x8_x10_x5_x6_x3;0.6118376000000012;154;20.68359375;x8, x7, x9, x1, x6*x3, x5*x3, x10*x3, x2*x3, x5*x6, x10*x6, x2*x6, x5**2, x10*x5, x2*x5, x10**2, x2*x10, x2**2, x4**2, x3**3, x6**3;['x1', 'x9', 'x7', 'x4', 'x2', 'x8', 'x10', 'x5', 'x6', 'x3']
154;x2;x2_x10_x7_x8_x4_x6_x1_x9_x5_x3;0.4840027000000049;155;20.68359375;x8, x7, x10, x2, x5*x3, x9*x3, x1*x3, x6*x3, x9*x5, x1*x5, x6*x5, x9**2, x1*x9, x6*x9, x1**2, x6*x1, x6**2, x4**2, x3**3, x5**3;['x2', 'x10', 'x7', 'x8', 'x4', 'x6', 'x1', 'x9', 'x5', 'x3']
155;x2;x2_x3_x10_x9_x4_x5_x7_x8_x1_x6;0.38238269999999375;154;20.6875;x4, x10, x3, x2, x1*x6, x5*x6, x9*x6, x1**2, x8*x1, x5*x1, x9*x1, x8**2, x5*x8, x9*x8, x7**2, x5**2, x9*x5, x9**2, x6**3, x8*x6**2;['x2', 'x3', 'x10', 'x9', 'x4', 'x5', 'x7', 'x8', 'x1', 'x6']
156;x5;x5_x9_x2_x8_x7_x10_x3_x6_x4_x1;0.3239506000000034;139;20.6953125;x7, x8, x9, x5, x1**2, x6*x1, x3*x1, x2*x1, x4**2, x3*x6, x10*x6, x2*x6, x3**2, x10*x3, x2*x3, x10**2, x2*x10, x2**2, x6**3;['x5', 'x9', 'x2', 'x8', 'x7', 'x10', 'x3', 'x6', 'x4', 'x1']
157;x3;x3_x7_x9_x1_x10_x5_x8_x4_x2_x6;0.4413227999999947;169;20.69921875;x1, x9, x7, x3, x8*x6, x5*x6, x10*x6, x2**2, x8*x2, x5*x2, x10*x2, x4**2, x8**2, x5*x8, x10*x8, x5**2, x10*x5, x10**2, x6**3, x2*x6**2;['x3', 'x7', 'x9', 'x1', 'x10', 'x5', 'x8', 'x4', 'x2', 'x6']
158;x7;x7_x1_x2_x6_x10_x4_x9_x3_x5_x8;0.5235356999999965;152;20.69921875;x3, x2, x1, x7, x5*x8, x9*x8, x10*x8, x6*x8, x9*x5, x10*x5, x6*x5, x9**2, x10*x9, x6*x9, x4**2, x10**2, x6*x10, x6**2, x8**3, x5**3;['x7', 'x1', 'x2', 'x6', 'x10', 'x4', 'x9', 'x3', 'x5', 'x8']
159;x3;x3_x5_x9_x10_x4_x2_x7_x8_x1_x6;0.3508180999999979;152;20.69921875;x4, x9, x5, x3, x1*x6, x2*x6, x10*x6, x1**2, x8*x1, x2*x1, x10*x1, x8**2, x2*x8, x10*x8, x7**2, x2**2, x10*x2, x10**2, x6**3, x8*x6**2;['x3', 'x5', 'x9', 'x10', 'x4', 'x2', 'x7', 'x8', 'x1', 'x6']
160;x8;x8_x4_x5_x1_x9_x7_x2_x3_x6_x10;0.4557368999999909;154;20.703125;x9, x5, x4, x8, x3*x10, x2*x10, x1*x10, x6**2, x3*x6, x2*x6, x1*x6, x3**2, x2*x3, x1*x3, x2**2, x1*x2, x7**2, x1**2, x10**3, x6*x10**2;['x8', 'x4', 'x5', 'x1', 'x9', 'x7', 'x2', 'x3', 'x6', 'x10']
161;x1;x1_x10_x7_x2_x4_x9_x6_x5_x3_x8;0.8316125999999997;165;20.72265625;x3, x7, x10, x1, x5*x8, x6*x8, x9*x8, x2*x8, x6*x5, x9*x5, x2*x5, x6**2, x9*x6, x2*x6, x9**2, x2*x9, x4**2, x2**2, x8**3, x5**3;['x1', 'x10', 'x7', 'x2', 'x4', 'x9', 'x6', 'x5', 'x3', 'x8']
162;x10;x10_x6_x1_x9_x5_x8_x3_x4_x7_x2;0.20143110000000775;125;20.72265625;x4, x8, x6, x10, x2**2, x9*x2, x1*x2, x7**2, x3**2, x5*x3, x9*x3, x1*x3, x5**2, x9*x5, x1*x5, x9**2, x1*x9, x1**2;['x10', 'x6', 'x1', 'x9', 'x5', 'x8', 'x3', 'x4', 'x7', 'x2']
