run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
451;ca;630.8941000549821;1994;4013;6007;1456.63671875;ca_sd_sc_cc_cd_sa_cb_sb;['ca', 'sd', 'sc', 'cc', 'cd', 'sa', 'cb', 'sb']
452;ca;358.27474268805236;1816;3183;4999;1456.63671875;ca_cb_sb_sc_sa_cc_sd_cd;['ca', 'cb', 'sb', 'sc', 'sa', 'cc', 'sd', 'cd']
453;sd;322.41180726198945;1807;3310;5117;1456.63671875;sd_cb_cd_sb_ca_sa_cc_sc;['sd', 'cb', 'cd', 'sb', 'ca', 'sa', 'cc', 'sc']
454;sa;3082.836654820945;2138;4455;6593;1456.63671875;sa_cb_cd_sd_ca_cc_sc_sb;['sa', 'cb', 'cd', 'sd', 'ca', 'cc', 'sc', 'sb']
455;sc;302.4412961381022;1810;3344;5154;1456.63671875;sc_sb_cb_ca_cc_sa_cd_sd;['sc', 'sb', 'cb', 'ca', 'cc', 'sa', 'cd', 'sd']
456;sd;514.516218455974;1906;3465;5371;1456.63671875;sd_sa_sc_sb_ca_cb_cd_cc;['sd', 'sa', 'sc', 'sb', 'ca', 'cb', 'cd', 'cc']
457;cd;858.0744792749174;2180;4619;6799;1456.63671875;cd_sa_sb_cc_cb_sd_ca_sc;['cd', 'sa', 'sb', 'cc', 'cb', 'sd', 'ca', 'sc']
458;sb;518.7098251909483;1967;3735;5702;1456.63671875;sb_cb_cd_sa_ca_cc_sc_sd;['sb', 'cb', 'cd', 'sa', 'ca', 'cc', 'sc', 'sd']
459;cd;520.5920235529775;1935;3736;5671;1456.63671875;cd_ca_sb_sd_cb_sa_cc_sc;['cd', 'ca', 'sb', 'sd', 'cb', 'sa', 'cc', 'sc']
460;sa;666.8534026900306;1966;4025;5991;1456.63671875;sa_sd_cc_cd_sc_ca_sb_cb;['sa', 'sd', 'cc', 'cd', 'sc', 'ca', 'sb', 'cb']
461;sb;1030.5143750779098;1804;3117;4921;1456.63671875;sb_ca_sa_cb_sc_cd_cc_sd;['sb', 'ca', 'sa', 'cb', 'sc', 'cd', 'cc', 'sd']
462;sb;2245.2785095470026;1901;3435;5336;1456.63671875;sb_cd_ca_sa_cb_cc_sc_sd;['sb', 'cd', 'ca', 'sa', 'cb', 'cc', 'sc', 'sd']
463;cd;685.8077724060277;2165;4429;6594;1456.63671875;cd_cb_sa_ca_sc_cc_sb_sd;['cd', 'cb', 'sa', 'ca', 'sc', 'cc', 'sb', 'sd']
464;sb;511.13788343500346;2090;4159;6249;1456.63671875;sb_cc_sc_cb_sd_sa_cd_ca;['sb', 'cc', 'sc', 'cb', 'sd', 'sa', 'cd', 'ca']
465;sc;522.6914780159714;1938;3916;5854;1456.63671875;sc_cc_ca_sb_cd_sa_cb_sd;['sc', 'cc', 'ca', 'sb', 'cd', 'sa', 'cb', 'sd']
466;cd;867.2929181769723;2059;4181;6240;1456.63671875;cd_cb_sd_sa_sb_cc_ca_sc;['cd', 'cb', 'sd', 'sa', 'sb', 'cc', 'ca', 'sc']
467;cb;481.4873534149956;1904;3684;5588;1456.63671875;cb_cc_sb_sd_ca_sa_sc_cd;['cb', 'cc', 'sb', 'sd', 'ca', 'sa', 'sc', 'cd']
468;sb;1089.124346313998;1821;3508;5329;1456.63671875;sb_sd_ca_sa_cd_cb_sc_cc;['sb', 'sd', 'ca', 'sa', 'cd', 'cb', 'sc', 'cc']
469;cb;461.38850603892934;1947;4033;5980;1456.63671875;cb_sc_cc_cd_ca_sb_sa_sd;['cb', 'sc', 'cc', 'cd', 'ca', 'sb', 'sa', 'sd']
470;sa;1609.1229392980458;2068;4054;6122;1456.63671875;sa_cd_sc_sb_cb_cc_sd_ca;['sa', 'cd', 'sc', 'sb', 'cb', 'cc', 'sd', 'ca']
471;sc;1081.8674339849968;1971;3829;5800;1456.63671875;sc_sd_cd_sa_cc_cb_ca_sb;['sc', 'sd', 'cd', 'sa', 'cc', 'cb', 'ca', 'sb']
472;cc;322.32221357303206;1836;3404;5240;1456.63671875;cc_sb_cb_cd_sc_sd_sa_ca;['cc', 'sb', 'cb', 'cd', 'sc', 'sd', 'sa', 'ca']
473;cc;621.4482914890395;1899;3726;5625;1456.63671875;cc_sa_sb_sc_cb_sd_ca_cd;['cc', 'sa', 'sb', 'sc', 'cb', 'sd', 'ca', 'cd']
