run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
398;x2;x2_x6_x1_x3_x5_x4;13.716391100000237;347;68.23046875;x2, x6*x4, x5**2, x3*x5, x1*x5, x6*x5, x3**2, x1*x3, x6*x3, x1**2, x6*x1, x6**2, x4**3, x5*x4**2, x3*x4**2, x1*x4**2;['x2', 'x6', 'x1', 'x3', 'x5', 'x4']
399;x6;x6_x4_x3_x1_x5_x2;13.905638600000202;348;14.7109375;x4, x6*x2, x5**2, x1*x5, x3*x5, x6*x5, x1**2, x3*x1, x6*x1, x3**2, x6*x3, x6**2, x2**3, x5*x2**2, x1*x2**2, x3*x2**2;['x6', 'x4', 'x3', 'x1', 'x5', 'x2']
400;x2;x2_x5_x4_x1_x6_x3;2.8692768999999316;160;14.71875;x2, x5*x3, x6**2, x1*x6, x4*x6, x5*x6, x1**2, x4*x1, x5*x1, x4**2, x5*x4, x5**2, x3**3, x6*x3**2, x1*x3**2, x4*x3**2;['x2', 'x5', 'x4', 'x1', 'x6', 'x3']
401;x2;x2_x5_x1_x3_x4_x6;2.389229399999749;148;14.53515625;x2, x5*x6, x4**2, x3*x4, x1*x4, x5*x4, x3**2, x1*x3, x5*x3, x1**2, x5*x1, x5**2, x6**3, x4*x6**2, x3*x6**2, x1*x6**2;['x2', 'x5', 'x1', 'x3', 'x4', 'x6']
402;x4;x4_x6_x2_x3_x5_x1;13.558170699999664;362;65.9296875;x4, x6*x1, x5**2, x3*x5, x2*x5, x6*x5, x3**2, x2*x3, x6*x3, x2**2, x6*x2, x6**2, x1**3, x5*x1**2, x3*x1**2, x2*x1**2;['x4', 'x6', 'x2', 'x3', 'x5', 'x1']
403;x4;x4_x6_x3_x2_x5_x1;11.595241299999998;351;65.9296875;x4, x6*x1, x5**2, x2*x5, x3*x5, x6*x5, x2**2, x3*x2, x6*x2, x3**2, x6*x3, x6**2, x1**3, x5*x1**2, x2*x1**2, x3*x1**2;['x4', 'x6', 'x3', 'x2', 'x5', 'x1']
404;x6;x6_x2_x4_x5_x1_x3;16.48039949999975;358;65.265625;x2, x6*x3, x1**2, x5*x1, x4*x1, x6*x1, x5**2, x4*x5, x6*x5, x4**2, x6*x4, x6**2, x3**3, x1*x3**2, x5*x3**2, x4*x3**2;['x6', 'x2', 'x4', 'x5', 'x1', 'x3']
405;x5;x5_x3_x1_x2_x4_x6;2.5476375000002918;145;13.625;x5, x3*x6, x4**2, x2*x4, x1*x4, x3*x4, x2**2, x1*x2, x3*x2, x1**2, x3*x1, x3**2, x6**3, x4*x6**2, x2*x6**2, x1*x6**2;['x5', 'x3', 'x1', 'x2', 'x4', 'x6']
406;x2;x2_x1_x5_x4_x6_x3;2.5155949999998484;165;13.6640625;x2, x1*x3, x6**2, x4*x6, x5*x6, x1*x6, x4**2, x5*x4, x1*x4, x5**2, x1*x5, x1**2, x3**3, x6*x3**2, x4*x3**2, x5*x3**2;['x2', 'x1', 'x5', 'x4', 'x6', 'x3']
407;x1;x1_x5_x4_x6_x3_x2;4.837522199999967;166;69.640625;x1, x5*x2, x3**2, x6*x3, x4*x3, x5*x3, x6**2, x4*x6, x5*x6, x4**2, x5*x4, x5**2, x2**3, x3*x2**2, x6*x2**2, x4*x2**2;['x1', 'x5', 'x4', 'x6', 'x3', 'x2']
