run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
204;x5;10.461311399999886;199;144;343;66.70703125;x5_x6_x3_x2_x4_x1;['x5', 'x6', 'x3', 'x2', 'x4', 'x1']
205;x2;3.638038399999914;116;52;168;70.8046875;x2_x3_x5_x6_x1_x4;['x2', 'x3', 'x5', 'x6', 'x1', 'x4']
206;x1;2.749076000000059;109;53;162;70.80859375;x1_x5_x4_x2_x6_x3;['x1', 'x5', 'x4', 'x2', 'x6', 'x3']
207;x1;3.8268096000001606;116;54;170;70.66796875;x1_x2_x4_x6_x5_x3;['x1', 'x2', 'x4', 'x6', 'x5', 'x3']
208;x5;2.3165888999999424;94;52;146;70.66796875;x5_x2_x4_x1_x3_x6;['x5', 'x2', 'x4', 'x1', 'x3', 'x6']
209;x6;10.697036900000057;199;151;350;67.609375;x6_x4_x3_x5_x1_x2;['x6', 'x4', 'x3', 'x5', 'x1', 'x2']
210;x6;10.649372500000027;200;147;347;67.609375;x6_x2_x1_x4_x5_x3;['x6', 'x2', 'x1', 'x4', 'x5', 'x3']
211;x3;5.544616000000133;116;55;171;67.33203125;x3_x2_x4_x6_x1_x5;['x3', 'x2', 'x4', 'x6', 'x1', 'x5']
212;x5;3.8602341000000706;109;50;159;51.59765625;x5_x1_x3_x2_x6_x4;['x5', 'x1', 'x3', 'x2', 'x6', 'x4']
213;x6;18.071281299999782;199;145;344;31.5546875;x6_x1_x4_x2_x3_x5;['x6', 'x1', 'x4', 'x2', 'x3', 'x5']
214;x1;29.835653500000035;197;144;341;12.87890625;x1_x6_x2_x3_x4_x5;['x1', 'x6', 'x2', 'x3', 'x4', 'x5']
215;x2;17.03775410000003;199;146;345;13.26953125;x2_x6_x1_x3_x4_x5;['x2', 'x6', 'x1', 'x3', 'x4', 'x5']
216;x2;3.0319154000001163;94;53;147;14.75;x2_x3_x1_x5_x4_x6;['x2', 'x3', 'x1', 'x5', 'x4', 'x6']
217;x4;4.2657308000000285;180;97;277;14.828125;x4_x3_x6_x5_x1_x2;['x4', 'x3', 'x6', 'x5', 'x1', 'x2']
218;x5;4.278738799999928;180;98;278;14.8515625;x5_x4_x6_x2_x3_x1;['x5', 'x4', 'x6', 'x2', 'x3', 'x1']
219;x3;9.912787999999864;198;153;351;15.03515625;x3_x6_x5_x2_x1_x4;['x3', 'x6', 'x5', 'x2', 'x1', 'x4']
220;x5;3.3985004000001027;116;55;171;19.7578125;x5_x4_x2_x6_x3_x1;['x5', 'x4', 'x2', 'x6', 'x3', 'x1']
221;x2;4.053544099999954;116;55;171;69.7734375;x2_x5_x3_x6_x1_x4;['x2', 'x5', 'x3', 'x6', 'x1', 'x4']
222;x2;2.300429699999995;94;50;144;69.7734375;x2_x3_x5_x1_x4_x6;['x2', 'x3', 'x5', 'x1', 'x4', 'x6']
223;x6;10.338721999999962;198;148;346;66.87890625;x6_x4_x3_x2_x5_x1;['x6', 'x4', 'x3', 'x2', 'x5', 'x1']
224;x3;5.27676550000001;180;102;282;66.796875;x3_x4_x6_x2_x5_x1;['x3', 'x4', 'x6', 'x2', 'x5', 'x1']
225;x5;3.5170250999999553;116;53;169;69.6953125;x5_x3_x1_x6_x2_x4;['x5', 'x3', 'x1', 'x6', 'x2', 'x4']
226;x6;11.089827199999945;199;140;339;69.69921875;x6_x3_x1_x4_x5_x2;['x6', 'x3', 'x1', 'x4', 'x5', 'x2']
227;x4;2.3862436000001708;109;55;164;67.39453125;x4_x2_x1_x5_x6_x3;['x4', 'x2', 'x1', 'x5', 'x6', 'x3']
228;x6;10.901417600000059;200;150;350;66.95703125;x6_x4_x3_x5_x1_x2;['x6', 'x4', 'x3', 'x5', 'x1', 'x2']
229;x5;3.1808340000000044;116;57;173;71.1640625;x5_x3_x2_x6_x1_x4;['x5', 'x3', 'x2', 'x6', 'x1', 'x4']
230;x4;3.288114299999961;116;52;168;71.1640625;x4_x1_x2_x6_x5_x3;['x4', 'x1', 'x2', 'x6', 'x5', 'x3']
231;x5;2.8333586999999625;109;50;159;70.6171875;x5_x3_x4_x1_x6_x2;['x5', 'x3', 'x4', 'x1', 'x6', 'x2']
232;x4;11.356234800000038;199;149;348;67.23046875;x4_x6_x3_x1_x5_x2;['x4', 'x6', 'x3', 'x1', 'x5', 'x2']
233;x1;10.172476300000199;197;148;345;38.70703125;x1_x6_x4_x2_x5_x3;['x1', 'x6', 'x4', 'x2', 'x5', 'x3']
234;x2;4.415122999999994;180;102;282;67.1796875;x2_x3_x6_x1_x5_x4;['x2', 'x3', 'x6', 'x1', 'x5', 'x4']
235;x5;3.5393355000001065;109;54;163;67.1796875;x5_x4_x1_x2_x6_x3;['x5', 'x4', 'x1', 'x2', 'x6', 'x3']
236;x6;10.995332700000063;199;151;350;65.9765625;x6_x2_x5_x4_x3_x1;['x6', 'x2', 'x5', 'x4', 'x3', 'x1']
237;x6;9.83865999999989;200;150;350;65.47265625;x6_x2_x5_x1_x4_x3;['x6', 'x2', 'x5', 'x1', 'x4', 'x3']
238;x5;2.598849400000063;109;53;162;65.43359375;x5_x4_x3_x2_x6_x1;['x5', 'x4', 'x3', 'x2', 'x6', 'x1']
239;x2;2.3941030000000865;94;48;142;65.1484375;x2_x1_x4_x3_x5_x6;['x2', 'x1', 'x4', 'x3', 'x5', 'x6']
240;x1;3.9500335000000177;180;98;278;65.15234375;x1_x5_x6_x2_x4_x3;['x1', 'x5', 'x6', 'x2', 'x4', 'x3']
241;x3;3.1672516999999516;116;52;168;69.94921875;x3_x2_x1_x6_x5_x4;['x3', 'x2', 'x1', 'x6', 'x5', 'x4']
242;x5;3.1142288000000917;116;54;170;70.0859375;x5_x1_x2_x6_x4_x3;['x5', 'x1', 'x2', 'x6', 'x4', 'x3']
243;x1;9.493167399999948;198;147;345;70.0859375;x1_x6_x2_x4_x5_x3;['x1', 'x6', 'x2', 'x4', 'x5', 'x3']
244;x5;2.2363992999999027;109;55;164;67.30078125;x5_x4_x2_x1_x6_x3;['x5', 'x4', 'x2', 'x1', 'x6', 'x3']
245;x3;2.992790600000035;116;56;172;69.703125;x3_x1_x2_x6_x4_x5;['x3', 'x1', 'x2', 'x6', 'x4', 'x5']
246;x1;2.185055499999862;94;48;142;69.703125;x1_x4_x5_x3_x2_x6;['x1', 'x4', 'x5', 'x3', 'x2', 'x6']
247;x6;8.71083509999994;199;157;356;66.9296875;x6_x1_x2_x5_x4_x3;['x6', 'x1', 'x2', 'x5', 'x4', 'x3']
248;x6;9.373315300000058;199;146;345;67.06640625;x6_x5_x1_x2_x4_x3;['x6', 'x5', 'x1', 'x2', 'x4', 'x3']
249;x1;8.69138380000004;198;153;351;67.06640625;x1_x6_x5_x2_x4_x3;['x1', 'x6', 'x5', 'x2', 'x4', 'x3']
250;x2;12.46891659999983;201;141;342;66.9375;x2_x6_x4_x3_x1_x5;['x2', 'x6', 'x4', 'x3', 'x1', 'x5']
251;x4;9.470330699999977;198;152;350;64.81640625;x4_x6_x5_x2_x3_x1;['x4', 'x6', 'x5', 'x2', 'x3', 'x1']
252;x3;2.099341400000185;94;51;145;64.8203125;x3_x4_x5_x1_x2_x6;['x3', 'x4', 'x5', 'x1', 'x2', 'x6']
253;x2;3.132263200000125;116;54;170;69.0625;x2_x1_x3_x6_x5_x4;['x2', 'x1', 'x3', 'x6', 'x5', 'x4']
254;x1;2.2509410000000116;109;53;162;69.0703125;x1_x4_x3_x2_x6_x5;['x1', 'x4', 'x3', 'x2', 'x6', 'x5']
255;x2;2.3858688000000257;109;51;160;67.59375;x2_x5_x4_x1_x6_x3;['x2', 'x5', 'x4', 'x1', 'x6', 'x3']
256;x4;2.108727999999928;94;49;143;67.6015625;x4_x3_x1_x5_x2_x6;['x4', 'x3', 'x1', 'x5', 'x2', 'x6']
257;x3;8.999352099999896;197;148;345;67.81640625;x3_x6_x2_x1_x5_x4;['x3', 'x6', 'x2', 'x1', 'x5', 'x4']
258;x2;2.2732997000000523;109;56;165;67.81640625;x2_x5_x3_x4_x6_x1;['x2', 'x5', 'x3', 'x4', 'x6', 'x1']
259;x3;9.528448699999899;199;143;342;68.10546875;x3_x6_x2_x5_x4_x1;['x3', 'x6', 'x2', 'x5', 'x4', 'x1']
260;x6;9.731994799999939;199;148;347;68.10546875;x6_x5_x4_x1_x3_x2;['x6', 'x5', 'x4', 'x1', 'x3', 'x2']
